artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,cluster,context,rank,URL_Couverture_Album
Britney Spears,Oops!...I Did It Again,211160,False,2000,77,0.751,0.834,1,-5.444,minor,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,1,Détente,5,https://i.scdn.co/image/ab67616d0000b273c50b7d96737041f4bfd844d6
blink-182,All The Small Things,167066,False,1999,79,0.434,0.897,0,-4.918,major,0.0488,0.0103,0.0,0.612,0.684,148.726,rock,3,Sport,2,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
Faith Hill,Breathe,250546,False,1999,66,0.529,0.496,7,-9.007,major,0.029,0.173,0.0,0.251,0.278,136.859,pop,3,Sport,10,https://i.scdn.co/image/ab67616d0000b273f4adbbdcd39b09e5f0b9e03e
Bon Jovi,It's My Life,224493,False,2000,78,0.551,0.913,0,-4.063,minor,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,3,Sport,4,https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58
*NSYNC,Bye Bye Bye,200560,False,2000,65,0.614,0.928,8,-4.806,minor,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop,1,Détente,14,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
Sisqo,Thong Song,253733,True,1999,69,0.706,0.888,2,-6.959,major,0.0654,0.119,9.64e-05,0.07,0.714,121.549,hip hop,1,Détente,8,https://i.scdn.co/image/ab67616d0000b273fd45ab4cf2c606ddce4c9692
Eminem,The Real Slim Shady,284200,True,2000,86,0.949,0.661,5,-4.244,minor,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop,1,Détente,1,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
Robbie Williams,Rock DJ,258560,False,2000,68,0.708,0.772,7,-4.264,major,0.0322,0.0267,0.0,0.467,0.861,103.035,pop,1,Détente,12,https://i.scdn.co/image/ab67616d0000b273c5f3aaf3b54a777d96ecf604
Destiny's Child,Say My Name,271333,False,1999,75,0.713,0.678,5,-3.525,minor,0.102,0.273,0.0,0.149,0.734,138.009,pop,3,Sport,4,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8
Modjo,Lady - Hear Me Tonight,307153,False,2001,77,0.72,0.808,6,-5.627,major,0.0379,0.00793,0.0293,0.0634,0.869,126.041,dance/electronic,1,Détente,2,https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7
Gigi D'Agostino,L'Amour Toujours,238759,False,2011,1,0.617,0.728,7,-7.932,major,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop,1,Détente,34,https://i.scdn.co/image/ab67616d0000b27395c70cc04573417548b47199
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,False,1999,56,0.745,0.958,7,-9.664,major,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,1,Détente,20,https://i.scdn.co/image/ab67616d0000b27363d5a6f7b79c5b7d75d2ace9
